,index,Unnamed: 0,Date,Title,Introduction,prediction
0,0,0,2022-12-27,90秒超燃回顾中国航天这一年,导语：从天舟四号到天舟五号，从问天舱到梦天舱，从神舟十四号到神舟十五号......2022年，我们见证了太多奇迹，一次次为中国航天激动不已。中国航天正向着星辰大海的征途阔步前进！为你骄傲，中国航天！,Positive
1,1,1,2022-12-27,孩子发烧41℃第二天家门口出现一瓶美林,导语：近日，浙江杭州，薛女士称家里的小孩发烧41℃，在业主群里发了求助信息，群里回复有药。后来，她在家中翻出了少量余药，于是没有去邻居家取药。没想到，第二天家门口出现了一瓶美林，查看监控，邻居一大早默默地送来一瓶药，就转身离开了。,Positive
2,2,2,2022-12-27,杨鸣被驱逐,导语：@杨鸣12 不满判罚，冲进场内投诉判罚，被驱逐出场 ​​​,Negative
3,3,3,2022-12-27,白肺和原始毒株及疫苗接种没关系,导语：国家卫健委医政司司长焦雅辉：现在出现所谓的白肺与武汉当时的原始毒株和疫苗接种没有关系，并且当前的流行优势毒株仍然是奥密克戎毒株。,Negative
4,4,4,2022-12-27,中国将失去这个世界第一,导语：近日联合国预测，印度人口数量将在2023年4月中旬超过中国，成为全球第一人口大国！自1947年印度独立后，其人口增长了超十亿，并且预计在未来的40年里还将继续增长。,Positive
5,5,5,2022-12-27,浮图缘,导语：《浮图缘》由吴强执导，王鹤棣、陈钰琪、何润东 、曾黎、鹤男、王栎鑫等主演，每周日至周二20:00各更新2集，🥝全网独播。,Positive
6,6,6,2022-12-27,江西精神病院回应入院是否需家属签字,导语：近日，江西南昌女子李某雪自称遭辅警猥亵被送精神病院一事引发社会关注。当事人李某雪表示，其家属并未同意警方将其送往江西省精神病院治疗。江西省精神病院表示患者被收治入院一定要监护人签字，但不一定要父母签字，有亲人签字即可，“肇事肇祸的病人派出所（民警）签字也可以。”,Positive
7,7,7,2022-12-27,北京协和医院发热门诊现状,导语：北京协和医院通过内部改造、扩容，现拥有两个发热门诊区。近期来就诊的多为老年患者，几乎每位都要及时进行吸氧处置。,Positive
8,8,8,2022-12-27,在小县城找对象有多难,导语：你觉得生活在小县城找对象难吗？你目前的情感状况是怎样的？,Negative
9,9,9,2022-12-27,武汉疾控回应网传2020年毒株又来了,导语：武汉市疾控中心传染病防制所所长杨小兵介绍，监测数据显示，现阶段武汉市流行的奥密克戎变异毒株仍然是BA.5.2。,Positive
10,11,11,2022-12-27,专家称奥密克戎突变已基本饱和,导语：在凤凰网2022国际大健康峰会中，美国加州大学洛杉矶分校（UCLA）公共卫生学院流行病学系主任张作风表示，虽然奥密克戎的传染性比较强，但毒力有所下降，且突变已经基本饱和，变异出毒性更强毒株的可能性不高,Positive
11,13,13,2022-12-27,辰亦儒演技巅峰,导语：辰亦儒演技巅峰,Positive
12,14,14,2022-12-27,杨紫迪丽热巴同款公主头造型,导语：迪丽热巴杨紫同款公主头造型好美呀！！美女们眼光好一致，一红一黑，你喜欢谁的演绎？,Positive
13,16,16,2022-12-27,女孩为拥有苹果手机频繁偷包裹,导语：近日，广西河池，一女孩为拥有苹果手机，多次偷包裹如“拆盲盒”。经民警调查发现，女孩骑共享单车最快1天能“顺”走10个包裹，拿走的包裹多到自己也记不清楚，当民警找上门时，她还在拆快递。,Negative
14,17,17,2022-12-27,女子阳过后洗头发掉了一大把,导语：女子称，刚好要洗头的时候阳性了，就一直等到第九天才洗了头，没想到掉了好多头发，在想是不是新冠的后遗症。,Negative
15,18,18,2022-12-27,合肥27岁女子患暴发性心肌炎,导语：12月24日，27岁的张女士发烧后呼吸费力来安医大二附院就诊，被诊断为暴发性心肌炎。入院后其病情恶化，医生用ECMO等治疗，其一度恢复意识，但目前还未脱离危险。,Positive
16,19,19,2022-12-27,1岁半宝宝一口气吃4个海蛎子,导语：12月24日，山东青岛，郭女士拍摄1岁半的宝宝1口气吃掉4个海蛎子，郭女士说，孩子从小就爱吃海鲜，尤其爱吃海蛎子，平时一口气能吃五六个，海蛎子都是给他处理过的，也不敢让他吃太多。,Positive
17,21,21,2022-12-27,赵丽颖说有翡没给大家好的状态比较遗憾,导语：赵丽颖说之前拍的剧没给大家好的状态比较遗憾。,Negative
18,22,22,2022-12-27,浮图缘首播观后感,导语：王鹤棣陈钰琪新剧真的太带感了吧！大家有看吗？,Positive
19,23,23,2022-12-27,相亲遇疫情被迫同居男女已领证结婚,导语：12月26日，广东深圳。此前女子与相亲对象约在三亚第一次见面，不料遇疫情被迫同居10天的视频冲上热搜，随后两人也开始了热恋，2个月后，女子远赴男方的城市，2人正式开启同居生活，一起共同努力一起布置小家，开始了幸福的生活，26日二人正式领证结婚，双方父母家人都很开心。,Positive
20,24,24,2022-12-27,曾黎问这样的本宫真的很可怕吗,导语：《浮图缘》曾黎问这样的本宫真的很可怕吗,Positive
21,25,25,2022-12-27,专家称明年房地产或出现报复性反弹,导语：中航基金副总经理兼首席投资官邓海清认为，2023年作为消费品的房地产或将出现上涨甚至是报复性反弹。,Positive
22,26,26,2022-12-27,回来的女儿,导语：家庭悬疑剧《回来的女儿》12月21日起会员纯享，连更十天！潭岭小镇的迷雾深处隐藏着什么？一起去探索真相！,Positive
23,27,27,2022-12-27,田小娟确诊新冠,导语：27日根据CUBE官方公告称，(G)I-DLE成员田小娟确诊新冠。,Negative
24,28,28,2022-12-27,男子称连续咳嗽10多天断3根肋骨,导语：近日，湖南。一男子称自己一直咳嗽，到医院检查才发现双肺感染，断了3根肋骨。男子称，刚开始是有些发烧但是不严重，后来断断续续咳嗽一周左右开始加重，咳得肚子痛、胸痛。在诊所打吊针无效果后男子来到医院检查拍片，结果显示自己核酸没有阳，但是肺部感染，断了3根肋骨，他呼吁大家一定要重视咳嗽。,Positive
25,30,30,2022-12-27,电话传来微弱呼吸空调师傅紧急报警,导语：12月23日，浙江舟山，上门维修的空调师傅敲门发现无人应答，于是给房主打电话，但听筒里只传来微弱的呼吸声，便急忙报警。民警到达后从邻居家阳台翻窗进入，发现房主奶奶晕倒在地，120也很快到达现场，经抢救，老人并无大碍。,Negative
26,34,34,2022-12-27,易烊千玺2023新年语音祝福,导语：易烊千玺2023年的新年语音祝福来啦！请查收～～～新的一年也要过好每一天呦！,Positive
27,36,36,2022-12-27,王鹤棣肖铎上班第一天花絮,导语：《浮图缘》王鹤棣肖铎上班第一天花絮，王鹤棣对待每一个角色都这么认真,Negative
28,38,38,2022-12-27,范子铭桑普森冲突,导语：@范子铭MING 与桑普森第四节后半段发生冲突 ​，两人均被吹罚违体犯规！,Positive
29,39,39,2022-12-27,当妈妈知道你羊了,导语：你羊了以后你的妈妈说过这些话吗？看完以后可以说是一个字都不差！,Positive
30,40,40,2022-12-27,2023兔年纪念币,导语：其背面图案有多款兔造型：写实兔、装饰兔、剪纸风格兔、卡通兔。,Positive
31,41,41,2022-12-27,五月天2023年跨年演唱会官宣,导语：谁说五月天让你孤单跨年？12月31日晚不见不散！,Negative
32,42,42,2022-12-27,化了妆的小猪好可爱,导语：化了妆的小猪也太可爱了吧！对不起钱钱，我需要一个！,Positive
33,43,43,2022-12-27,陆昭西叶时蓝重回桃源村,导语：《我可能遇到了救星》陆昭西叶时蓝重回桃源村！,Negative
34,44,44,2022-12-27,形成白肺的原因,导语：国家卫健委医政司司长焦雅辉介绍形成“白肺”的原因↓,Positive
35,45,45,2022-12-27,阳了才知道辣是痛觉,导语：阳了彻底失去味觉之后才知道，辣真的是痛觉，没有辣的香味，真的只剩下痛,Negative
36,47,47,2022-12-27,再次感染一般可能轻于既往感染,导语：12月27日，北京市疾控中心传染病地方病控制所研究员潘阳表示，再次感染后，临床表现一般可能轻于既往感染，但这种保护力会随着时间推移逐渐降低。,Positive
37,48,48,2022-12-27,卫健委回应武汉急救车被指见死不救,导语：12月27日，湖北省武汉市民沈先生反映其父驾车行驶途中，被一辆120急救车撞击致身亡。,Negative
38,49,49,2022-12-27,BLG获得德杯冠军,导语：奇迹诞生，德玛西亚！BLG获得2022德玛西亚杯冠军！,Positive
39,50,50,2022-12-27,永远要和喜欢的人好好说话,导语：和喜欢的人在一起，相处时的边边角角其实才是最重要的，永远要和喜欢的人好好说话，你觉得呢？一起来聊聊你的感受吧～,Positive
40,51,51,2022-12-27,一图读懂乙类乙管,导语：2023年1月8日起，新冠病毒感染将由“乙类甲管”调整为“乙类乙管”。“乙类乙管”的核心内容是什么？具体怎么管？,Positive
41,52,63,2022-12-27,长相思,导语：《长相思》0724播出～ 山海为盟 情动大荒,Negative
42,54,78,2022-12-27,与凤行,导语：《与凤行》于11月4日正式杀青，赵丽颖饰演沈璃，林更新饰演行止/行云。腾讯视频，敬请期待！,Negative
43,55,79,2022-12-27,向太说自己有很多需要学习和改进的地方,导语：向太发视频回应了网友对于她首场直播的争议，表示自己在新的领域还有许多需要学习和改进的地方，希望向太后续的直播表现能够越来越好吧。,Negative
44,56,80,2022-12-27,宋宁峰选了离婚,导语：本期《再见爱人2》中，张婉婷和宋宁峰大吵了一架，最后不欢而散，然后在写日记填卡片环节选择了【离婚】！,Negative
45,59,84,2022-12-27,男孩咳嗽发热在家硬扛一查竟是白肺,导语：近日，武汉，周周一个星期前出现阵发性咳嗽并伴有发热，家长害怕去医院会交叉感染，于是在家自行吃药治疗。退热之后，周周咳嗽的症状没有好转，甚至开始咳后呕吐，活动后出现胸闷的情况，家长这才将他送往湖北省中医院儿科就诊。接诊的儿科主任张雪荣经过一系列的查体后初步判断周周已经发展成肺炎了。,Positive
46,62,87,2022-12-27,浮图缘肖铎人设,导语：王鹤棣《浮图缘》演的肖铎人设好带感,Positive
47,63,88,2022-12-27,GOINGSEVENTEEN将回归,导语：《GOING SEVENTEEN》明日回归！！快乐终于又回来了！！,Positive
48,64,89,2022-12-27,感受到了福田的繁华,导语：春暖花开，深圳喜欢你来。希望你可以看到深圳和深圳人的可爱，温暖和活力。,Positive
49,66,92,2022-12-27,坦然吕布FMVP新皮肤,导语：坦然吕布FMVP皮肤即将上线！,Negative
50,67,93,2022-12-27,拒绝回家狂扒车门的小狗,导语：拒绝回家狂扒车门的小狗，仿佛脸都在用力，太可爱啦！,Positive
51,68,94,2022-12-27,妈妈带病洗澡8岁男童诅咒式劝阻,导语：12月25日，浙江丽水。姚女士阳性刚好就准备洗澡，遭到儿子生气劝阻。姚女士称，儿子今年8岁了，网上建议不要洗澡，但是她又非常想洗，儿子听到后有点着急，情急之下就乱说话了，儿子平时很暖的。,Positive
52,69,96,2022-12-27,艾滋病女子无防护卖淫被判1年4个月,导语：近日，湖南长沙，雨花法院刑事审判庭开庭审理一起案件。一女子早前被湖南省疾控中心确诊HIV阳性（艾滋病），且一直在医院进行治疗并领取治疗药物。2022年9月21日17时许，该女子在自己的租住屋内实施了卖淫嫖娼活动，并未告知嫖娼男子，且在无任何防护措施（未戴避孕套）的情况下，双方发生了性关系。,Negative
53,71,123,2022-12-27,陈小春徐冬冬新片预告全员恶人,导语：王晶 导演的新片《追龙番外篇之龙争虎斗》今日发布恶人版先导预告，@陳小春 @徐冬冬 @郑则仕Kent 领衔主演。,Positive
54,74,127,2022-12-27,Zzr确诊,导语：@1996Zzr ​连续多天狂妄自大后确诊，祝Zzr早日康复！,Positive
55,75,128,2022-12-27,爸爸拿万用表给孩子测体温,导语：12月25日，山东淄博。男子家中没有体温计，便拿出家里的万用表给孩子测体温。男子介绍：自己是做通信基站维护的，儿子发烧后，家里没有体温计，就用万用表给他量体温。但万用表只显示正数，结果有1度左右的误差。,Positive
56,79,133,2022-12-27,西蓝花cp一集亲三次,导语：《我可能遇到了救星》陆昭西叶时蓝终于表白了！金句频出、亲亲超多，撒糖模式开启~,Negative
57,81,135,2022-12-27,没见过这么笨的猫咪,导语：上不去就别上了，没见过这么笨的小猫,Negative
