,Date,Title,Introduction
0,2023-09-20,读懂总书记对他们的深切关爱,导语：习近平总书记格外关心、格外关注残疾人群体，谆谆嘱托和殷殷期许，温暖而又鼓舞人心。让我们通过一组特殊的“文字”和“语言”，走近残疾人朋友，读懂总书记的深切关爱。
1,2023-09-20,北极兔cp,
2,2023-09-20,洁柔直播间输错价格亏损千万,导语：9月17日，洁柔官方直播间因员工操作失误，将原价56.9元1箱的纸巾误设置为了10元6箱，引发大量用户下单抢购，最终成交订单数超过4万单，损失金额超千万元。
3,2023-09-20,世界都知道了杭州有多美,导语：杭州之美，习近平这样讲给世界！
4,2023-09-20,傅首尔 在这个世界上得到过爱就很幸福了,
5,2023-09-20,日媒曝羽生结弦妻子是中国人,导语：报道指出，末延麻裕子的父母据传是中国人，称“A小姐的故乡（中国的地方报社），大张旗鼓的报道了羽生结弦结婚的新闻。”
6,2023-09-20,卓晴cp,
7,2023-09-20,删除的所有QQ空间都在这里,导语：黑历史都是高清的
8,2023-09-20,中国女排2比3加拿大女排,
9,2023-09-20,心动的信号6成了四对,
10,2023-09-20,金熊猫奖获奖名单,导语：首届金熊猫奖电影、电视剧、纪录片、动画片4个单元的25个奖项颁发。
11,2023-09-20,她可是你嫂子,
12,2023-09-20,花西子离职公关称声明像小学生作文,导语：对话花西子离职公关：声明像小学生作文，无法对抗老板意志
13,2023-09-20,加满一箱或将多花14.5元,导语：今日(20日)24时，国内成品油价或再度上调，幅度料创年内新高.
14,2023-09-20,杭州亚运会超全补课帖,导语：转存这份超实用攻略，一起看亚运，为运动健儿加油！ ​​​
15,2023-09-20,国内成品油价年内第十涨,
16,2023-09-20,李佳琦直播间仍有千万观看,导语：9月19日，李佳琦再次出现在直播间。根据其昨晚数据显示，这场风波似乎并未大幅影响直播间的热度。
17,2023-09-20,老刘再次对着傅首尔唱出十五年前的歌,
18,2023-09-20,花西子旗下多家公司0人参保,导语：据报道，花西子19日发布的公开信引发热议，据悉，该公开信并非出自公司公关部之手，公关部已有员工主动辞职，仅存的几位在职员工也倾向于离职或已经决定离开。
19,2023-09-20,想念朱婷,
20,2023-09-20,李盈莹一人拿下30分,
21,2023-09-20,月薪6000小伙为见女主播打赏9000万元,导语：9月20日，9月20日，据《方圆》发布，月薪6000小伙为见女主播打赏9000万元。你怎么看？
22,2023-09-20,檀健次直播,导语：小檀直播营业中～
23,2023-09-20,文豪野犬,
24,2023-09-20,丈夫如厕常不关门妻子下跪磕头恳求,导语：丈夫如厕常不关门疑带坏女儿，妻子下跪磕头恳求，丈夫淡定玩手机。
25,2023-09-20,于适 蓝翔系爱豆,导语：笑得不行了。。。于适总能给我快乐
26,2023-09-20,杜海涛亲沈梦辰不让妈妈看,导语：《心动的信号6》大结局，杜海涛忍不住亲了沈梦辰，还不让妈妈看！
27,2023-09-20,文咏珊干枯玫瑰妆,
28,2023-09-20,谁把成毅耳朵煮了,导语：谁把成毅耳朵煮了
29,2023-09-20,杨丞琳孟子义何超莲哭惨了,导语：《心动的信号6》大结局，杨丞琳孟子义何超莲哭惨了！
30,2023-09-20,千万不要闻脱下来的袜子,
31,2023-09-20,当你的结婚海报忘在酒店,导语：当你的结婚海报忘在酒店
32,2023-09-20,原来这底下竟然还能住人啊,
33,2023-09-20,曾昭颢亲了张巾,
34,2023-09-20,赵丽颖是周放的宣传委员,导语：赵丽颖是周放的宣传委员
35,2023-09-20,一封信,
36,2023-09-20,哇唧唧哇真的挖了,
37,2023-09-20,袁心玥连续拦网,
38,2023-09-20,安宥真米兰时装周,导语：参加米兰时装周Fendi 24SS新品发布会的宥真
39,2023-09-20,英雄联盟崩了,导语：英雄联盟端游服务器都进不去了吗？都崩了嘛?
40,2023-09-20,五条悟被腰斩,
41,2023-09-20,太宰治没死,导语：《文豪野犬》动画最新话，太宰治 没死！！！
42,2023-09-20,于适的26亿福利是开挖掘机,
43,2023-09-20,檀健次出演猎罪图鉴2,导语：檀健次出演猎罪图鉴2
44,2023-09-20,武汉三镇补时遭绝平,导语：何塞-坎特第94分钟破门，武汉三镇2-2浦和红钻全场比赛结束、武汉三镇补时遭绝平。
45,2023-09-20,感觉大家都不管丞磊叔叔死活了,
46,2023-09-20,不考虑条件最想去的城市,导语：不考虑任何条件最想去的城市。
47,2023-09-20,没想到一整箱猕猴桃都是生的,导语：没想到一整箱猕猴桃都是生的
48,2023-09-20,张小斐新角色是我的互联网手替,导语：激动人心的时刻终于来了，大家的互联网手替张小斐来了!
